zpid,Address,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,is_bankOwned,isUnmappable,isPreforeclosureAuction,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedvalue,lotAreaValue,lotAreaUnit
37566646,6104 Quebec Pl,20740,College Park,MD,38.99388,-76.91044,425000.0,2,3,2112.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,350200.0,6534.0,sqft
37289303,2116 Cascade Rd,20902,Silver Spring,MD,39.02786,-77.0452,549900.0,1,3,1305.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,399333.0,7036.0,sqft
524602,3434 24th St SE,20020,Washington,DC,38.84696,-76.97031,400000.0,2,3,1200.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,295220.0,2012.0,sqft
37537446,6240 Addison Rd,20743,Capitol Heights,MD,38.88842,-76.89839,365000.0,2,3,1280.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,248600.0,0.5756198347107438,acres
37518076,2313 Amherst Rd,20783,Hyattsville,MD,38.97258,-76.97044,425000.0,3,4,1548.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,358600.0,6030.0,sqft
37508204,7110 Dower House Rd,20772,Upper Marlboro,MD,38.79169,-76.83287,400000.0,3,3,1384.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,375300.0,0.30883838383838386,acres
37290010,9015 Miles St,20901,Silver Spring,MD,39.00408,-76.99042,450000.0,2,4,1490.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,353200.0,6323.0,sqft
37354280,6508 Maureen Ct,20785,Landover,MD,38.92996,-76.90211,419900.0,3,3,1206.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,348300.0,7164.0,sqft
37533775,5316 Cumberland St,20743,Capitol Heights,MD,38.88196,-76.91461,415000.0,3,5,2624.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,281100.0,8000.0,sqft
37480632,12004 Cleaver Dr,20721,Bowie,MD,38.90414,-76.79726,439000.0,2,4,994.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,299900.0,0.32086776859504135,acres
37417569,12604 Sholton St,20774,Upper Marlboro,MD,38.89942,-76.78706,399900.0,4,5,1352.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,388400.0,8663.0,sqft
51844129,3252 Wayne Rd,22042,Falls Church,VA,38.85722,-77.18558,525000.0,1,3,864.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,438980.0,7204.0,sqft
37563593,6202 Seminole Pl,20740,College Park,MD,38.99521,-76.90696,399900.0,2,3,988.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,406900.0,6660.0,sqft
